i_id,商品名称,缺失字段,缺失原因,建议补充问题,优先级
001,财务文件,main_image,API数据中该字段为空,请上传商品主图,M
001,财务文件,price,API数据中该字段为空,请补充成本价或售价,M
001,财务文件,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
001,财务文件,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
001,财务文件,material,API数据中该字段为空,请补充商品材质信息,L
001,财务文件,weight,API数据中该字段为空,请补充商品重量,L
001,财务文件,color,API数据中该字段为空,请补充商品颜色信息,L
002,inhe礼品,main_image,API数据中该字段为空,请上传商品主图,M
002,inhe礼品,price,API数据中该字段为空,请补充成本价或售价,M
002,inhe礼品,material,API数据中该字段为空,请补充商品材质信息,L
002,inhe礼品,weight,API数据中该字段为空,请补充商品重量,L
002,inhe礼品,color,API数据中该字段为空,请补充商品颜色信息,L
1号折叠浴盆,1号折叠脸盆组合4,category,API数据中该字段为空,请确认商品类目,M
1号折叠浴盆,1号折叠脸盆组合4,main_image,API数据中该字段为空,请上传商品主图,M
1号折叠浴盆,1号折叠脸盆组合4,price,API数据中该字段为空,请补充成本价或售价,M
1号折叠浴盆,1号折叠脸盆组合4,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
1号折叠浴盆,1号折叠脸盆组合4,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
1号折叠浴盆,1号折叠脸盆组合4,material,API数据中该字段为空,请补充商品材质信息,L
1号折叠浴盆,1号折叠脸盆组合4,weight,API数据中该字段为空,请补充商品重量,L
1号折叠浴盆,1号折叠脸盆组合4,color,API数据中该字段为空,请补充商品颜色信息,L
1号折叠脸盆,1号折叠脸盆组合4,category,API数据中该字段为空,请确认商品类目,M
1号折叠脸盆,1号折叠脸盆组合4,main_image,API数据中该字段为空,请上传商品主图,M
1号折叠脸盆,1号折叠脸盆组合4,price,API数据中该字段为空,请补充成本价或售价,M
1号折叠脸盆,1号折叠脸盆组合4,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
1号折叠脸盆,1号折叠脸盆组合4,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
1号折叠脸盆,1号折叠脸盆组合4,material,API数据中该字段为空,请补充商品材质信息,L
1号折叠脸盆,1号折叠脸盆组合4,weight,API数据中该字段为空,请补充商品重量,L
1号折叠脸盆,1号折叠脸盆组合4,color,API数据中该字段为空,请补充商品颜色信息,L
212621,英禾一号皇冠椅子,material,API数据中该字段为空,请补充商品材质信息,L
250903,三号花生学习桌,main_image,API数据中该字段为空,请上传商品主图,M
250903,三号花生学习桌,material,API数据中该字段为空,请补充商品材质信息,L
250903,三号花生学习桌,weight,API数据中该字段为空,请补充商品重量,L
250903,三号花生学习桌,color,API数据中该字段为空,请补充商品颜色信息,L
G456,小熊床护栏鼻子,main_image,API数据中该字段为空,请上传商品主图,M
G456,小熊床护栏鼻子,price,API数据中该字段为空,请补充成本价或售价,M
G456,小熊床护栏鼻子,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
G456,小熊床护栏鼻子,material,API数据中该字段为空,请补充商品材质信息,L
G456,小熊床护栏鼻子,weight,API数据中该字段为空,请补充商品重量,L
G456,小熊床护栏鼻子,color,API数据中该字段为空,请补充商品颜色信息,L
JH24-0601-C,云屋收纳柜 大中板,main_image,API数据中该字段为空,请上传商品主图,M
JH24-0601-C,云屋收纳柜 大中板,price,API数据中该字段为空,请补充成本价或售价,M
JH24-0601-C,云屋收纳柜 大中板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
JH24-0601-C,云屋收纳柜 大中板,material,API数据中该字段为空,请补充商品材质信息,L
JH24-0601-C,云屋收纳柜 大中板,weight,API数据中该字段为空,请补充商品重量,L
JH24-0601-C,云屋收纳柜 大中板,color,API数据中该字段为空,请补充商品颜色信息,L
JH24-0602-C,云屋收纳柜 大侧板,main_image,API数据中该字段为空,请上传商品主图,M
JH24-0602-C,云屋收纳柜 大侧板,price,API数据中该字段为空,请补充成本价或售价,M
JH24-0602-C,云屋收纳柜 大侧板,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
JH24-0602-C,云屋收纳柜 大侧板,material,API数据中该字段为空,请补充商品材质信息,L
JH24-0602-C,云屋收纳柜 大侧板,weight,API数据中该字段为空,请补充商品重量,L
JH24-0602-C,云屋收纳柜 大侧板,color,API数据中该字段为空,请补充商品颜色信息,L
K1,1号折叠脸盆;散装;紫,main_image,API数据中该字段为空,请上传商品主图,M
K1,1号折叠脸盆;散装;紫,price,API数据中该字段为空,请补充成本价或售价,M
K1,1号折叠脸盆;散装;紫,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K1,1号折叠脸盆;散装;紫,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K1,1号折叠脸盆;散装;紫,material,API数据中该字段为空,请补充商品材质信息,L
K1,1号折叠脸盆;散装;紫,weight,API数据中该字段为空,请补充商品重量,L
K1,1号折叠脸盆;散装;紫,color,API数据中该字段为空,请补充商品颜色信息,L
K10,4号折叠脸盆;散装;绿,main_image,API数据中该字段为空,请上传商品主图,M
K10,4号折叠脸盆;散装;绿,price,API数据中该字段为空,请补充成本价或售价,M
K10,4号折叠脸盆;散装;绿,stock,API数据中该字段为空,请确认库存数据是否需要同步,M
K10,4号折叠脸盆;散装;绿,properties_value,API数据中该字段为空,请补充SKU规格属性（颜色、尺寸等）,M
K10,4号折叠脸盆;散装;绿,material,API数据中该字段为空,请补充商品材质信息,L
K10,4号折叠脸盆;散装;绿,weight,API数据中该字段为空,请补充商品重量,L
