i_id,商品名称,类目,品牌,商品状态,SKU数,主图URL,成本价(最低),成本价(最高),售价,库存总量,规格属性(首个SKU),颜色(从规格提取),重量(kg),长(cm),宽(cm),高(cm),体积,供应商,标签,关联店铺,缺失字段,缺失字段数,完整度评分,Agent可用等级,审核状态,质量警告,最后更新时间
001,财务文件,半成品类 - 其他类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2024-01-30 13:14:59.943
002,inhe礼品,半成品类 - 其他类,,未知,1,,,,,0,-,,,,,,,,,,"main_image, price, material, weight, color",5,70,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2025-07-26 12:36:36.777
1号折叠浴盆,1号折叠脸盆组合4,,,未知,4,,,,,,,,,,,,,,,,"category, main_image, price, stock, properties_value, material, weight, color",8,40,L1,待运营补全,"主图缺失 | 类目缺失 | 价格缺失 | 库存缺失 | SKU命名不一致(4种): 1号折叠浴盆组合2, 1号折叠浴盆组合1, 1号折叠浴盆组合4 | 商品状态未知 | 所有SKU图片缺失",2023-03-04 10:40:13.880
1号折叠脸盆,1号折叠脸盆组合4,,,未知,6,,,,,,,,,,,,,,,,"category, main_image, price, stock, properties_value, material, weight, color",8,40,L1,待运营补全,"主图缺失 | 类目缺失 | 价格缺失 | 库存缺失 | SKU命名不一致(6种): 1号折叠脸盆组合5, 1号折叠脸盆组合1, 1号折叠脸盆组合6 | 商品状态未知 | 所有SKU图片缺失",2023-03-04 10:40:13.880
212621,英禾一号皇冠椅子,成品类 - YH135儿童椅类,英禾,未知,1,https://img.pddpic.com/mms-material-img/2023-08-16/2d851158-7f89-4844-9a66-d84f2c4e0400.jpeg,41,41,,0,组合1;暮云灰,暮云灰,2.63,41,17,44.5,,,大件产品,,material,1,100,L3,高可用待确认,商品状态未知,2026-05-25 16:29:21.983
250903,三号花生学习桌,成品类 - YH17学习桌类,,未知,1,,13.63,13.63,,0,丁香棕,,,,,,,台州市懒爸懒妈母婴用品有限公司,,,"main_image, material, weight, color",4,80,L2,高可用待确认,主图缺失 | 商品状态未知 | 所有SKU图片缺失,2025-09-03 08:42:22.500
G456,小熊床护栏鼻子,产品配件类 - 贴纸,,未知,1,,,,,,透明单个,,,,,,,,,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-09-02 16:04:28.617
JH24-0601-C,云屋收纳柜 大中板,半成品类 - 吹塑部件,,未知,1,,,,,,茉莉白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
JH24-0602-C,云屋收纳柜 大侧板,半成品类 - 吹塑部件,,未知,1,,,,,,茉莉白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
K1,1号折叠脸盆;散装;紫,成品类 - YH19脸盆类,,未知,1,,,,,,,,,,,,,,,,"main_image, price, stock, properties_value, material, weight, color",7,50,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2023-11-04 14:07:08.593
