i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
001,财务文件,001,公司文件,,,,,,,,,,,,,半成品类 - 其他类,,启用,sku_query
002,inhe礼品,002,inhe礼品,-,,,,,,,,0,,,,半成品类 - 其他类,,启用,sku_query
1号折叠浴盆,1号折叠脸盆组合4,1号折叠浴盆组合3,1号折叠浴盆组合3,,,,,,,,,,,,,,,-1,sku_query
1号折叠浴盆,1号折叠脸盆组合4,1号折叠浴盆组合2,1号折叠浴盆组合2,,,,,,,,,,,,,,,-1,sku_query
1号折叠浴盆,1号折叠脸盆组合4,1号折叠浴盆组合4,1号折叠浴盆组合4,,,,,,,,,,,,,,,-1,sku_query
1号折叠浴盆,1号折叠脸盆组合4,1号折叠浴盆组合1,1号折叠浴盆组合1,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合4,1号折叠脸盆组合4,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合3,1号折叠脸盆组合3,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合5,1号折叠脸盆组合5,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合1,1号折叠脸盆组合1,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合2,1号折叠脸盆组合2,,,,,,,,,,,,,,,-1,sku_query
1号折叠脸盆,1号折叠脸盆组合4,1号折叠脸盆组合6,1号折叠脸盆组合6,,,,,,,,,,,,,,,-1,sku_query
212621,英禾一号皇冠椅子,YH135K04B01S13,英禾一号皇冠椅子,组合1;暮云灰,,41,,2.63,41,17,44.5,0,英禾,,大件产品,成品类 - YH135儿童椅类,https://img.pddpic.com/mms-material-img/2023-08-16/2d851158-7f89-4844-9a66-d84f2c4e0400.jpeg,启用,sku_query
250903,三号花生学习桌,2509030002,一号餐椅坐垫,丁香棕,,13.63,,,,,,0,,台州市懒爸懒妈母婴用品有限公司,,产品配件类 - 坐垫,,启用,sku_query
G456,小熊床护栏鼻子,G456,小熊床护栏鼻子,透明单个,,,,,,,,,,,,产品配件类 - 贴纸,,启用,sku_query
JH24-0601-C,云屋收纳柜 大中板,JH24-0601-CS26,云屋收纳柜 大中板,茉莉白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
JH24-0602-C,云屋收纳柜 大侧板,JH24-0602-CS26,云屋收纳柜 大侧板,茉莉白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
K1,1号折叠脸盆;散装;紫,K1,1号折叠脸盆;散装;紫,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K10,4号折叠脸盆;散装;绿,K10,4号折叠脸盆;散装;绿,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K11,4号折叠脸盆;散装;灰,K11,4号折叠脸盆;散装;灰,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K12,5号折叠脸盆;散装;灰,K12,5号折叠脸盆;散装;灰,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K13,5号折叠脸盆;散装;蓝,K13,5号折叠脸盆;散装;蓝,,,,,,,,,0,,,,成品类 - YH19脸盆类,,启用,sku_query
K14,5号折叠脸盆;散装;浅棕,K14,5号折叠脸盆;散装;浅棕,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K15,1号浴床;散装（10个/箱）,K15,1号浴床;散装（10个/箱）,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K16,2号浴床;散装;常规,K16,2号浴床;散装;常规,,,,,,,,,0,,,未上架,成品类 - YH19脸盆类,,启用,sku_query
K17,2号浴床;散装;感温,K17,2号浴床;散装;感温,,,,,,,,,0,,,,成品类 - YH19脸盆类,,启用,sku_query
K18,1号落地衣架底座,K18,1号落地衣架底座,暮云灰,,,,,,,,0,,,,成品类 - YH33衣架类,,启用,sku_query
K19,1号落地衣架底座,K19,1号落地衣架底座,秋杏棕,,,,,,,,0,,,,成品类 - YH33衣架类,,启用,sku_query
K2,1号折叠脸盆;散装;绿,K2,1号折叠脸盆;散装;绿,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K3,1号折叠脸盆;散装;灰,K3,1号折叠脸盆;散装;灰,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K4,1号折叠脸盆;散装;浅棕,K4,1号折叠脸盆;散装;浅棕,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K5,1号折叠脸盆;散装;深棕,K5,1号折叠脸盆;散装;深棕,,,,,,,,,,,,,成品类 - YH19脸盆类,,启用,sku_query
K6,2号折叠脸盆;散装;灰,K6,2号折叠脸盆;散装;灰,,,,,,,,,,,,未上架,成品类 - YH19脸盆类,,启用,sku_query
K7,2号折叠脸盆;散装;浅棕,K7,2号折叠脸盆;散装;浅棕,,,,,,,,,,,,未上架,成品类 - YH19脸盆类,,启用,sku_query
K8,2号折叠脸盆;散装;深棕,K8,2号折叠脸盆;散装;深棕,,,,,,,,,,,,未上架,成品类 - YH19脸盆类,,启用,sku_query
K9,4号折叠脸盆;散装;紫,K9,4号折叠脸盆;散装;紫,,,,,,,,,,,,未上架,成品类 - YH19脸盆类,,启用,sku_query
N20060811-C,三号鲸鱼踏板,N20060811-CS13,三号鲸鱼踏板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N200820-C,四层宇宙飞船收纳架侧板,N200820-CS06,四层宇宙飞船收纳架侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20090303-C,凳腿,N20090303-CS13,凳腿,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092603-C,1号篮球杆,N20092603-CS13,1号篮球杆,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092801-C01,2号篮球杆上段,N20092801-C01S13,2号篮球杆上段,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092801-C02,2号篮球杆下段,N20092801-C02S13,2号篮球杆下段,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092802-C,萝卜门框,N20092802-CS07,萝卜门框,丹霞橙,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092803-C,落地篮球架兔子篮板,N20092803-CS06,落地篮球架兔子篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092805-C01,1号洞板,N20092805-C01S06,1号洞板,玉莲白,,,,,,,,,英禾,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092805-C02,1号脚架,N20092805-C02S13,1号脚架,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092806-C,2号脚架,N20092806-CS13,2号脚架,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092808-C,狮子脸篮板,N20092808-CS16,狮子脸篮板,萱草黄,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092809-C,蛋壳篮板,N20092809-CS06,蛋壳篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N2009281-C,光环篮板,N2009281-CS06,光环篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092810-C,小鸡篮板,N20092810-CS06,小鸡篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092811-C,飞碟篮板,N20092811-CS05,飞碟篮板,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092812-C,星球篮板,N20092812-CS05,星球篮板,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092815-C,母鸡门框,N20092815-CS06,母鸡门框,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092816-C01,2号洞板,N20092816-C01S06,2号洞板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092816-C02,外星人门框,N20092816-C02S10,外星人门框,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092817-C01,3号洞板,N20092817-C01S05,3号洞板,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20092817-C02,火箭门框,N20092817-C02S05,火箭门框,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20101303-C02,奶油篮板,N20101303-C02S06,奶油篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
